timesteps	evaders	pursuers
162	[[11, 21]]	[[15, 21], [10, 21], [12, 19], [15, 23]]
163	[[10, 20]]	[[15, 21], [9, 21], [11, 19], [15, 23]]
164	[[9, 19]]	[[14, 20], [8, 20], [10, 18], [14, 22]]
165	[[9, 18]]	[[13, 19], [7, 19], [10, 17], [13, 21]]
166	[[8, 17]]	[[12, 19], [7, 18], [9, 16], [12, 21]]
167	[[8, 16]]	[[11, 18], [6, 17], [8, 15], [11, 20]]
168	[[7, 15]]	[[10, 17], [6, 16], [8, 14], [10, 19]]
169	[[8, 14]]	[[9, 16], [5, 15], [7, 13], [9, 18]]
170	[[8, 14]]	[[10, 15], [6, 16], [7, 12], [8, 17]]
171	[[8, 13]]	[[10, 14], [6, 15], [7, 12], [8, 16]]
172	[[9, 12]]	[[10, 13], [6, 14], [8, 11], [8, 15]]
173	[[9, 11]]	[[11, 12], [6, 13], [9, 10], [9, 14]]
174	[[10, 10]]	[[11, 11], [6, 12], [9, 9], [9, 13]]
175	[[11, 9]]	[[12, 10], [7, 11], [10, 8], [10, 12]]
176	[[12, 9]]	[[13, 9], [8, 10], [10, 7], [11, 11]]
177	[[13, 8]]	[[14, 8], [9, 9], [10, 7], [11, 11]]
178	[[13, 9]]	[[14, 8], [9, 9], [11, 6], [12, 10]]
179	[[12, 9]]	[[15, 9], [10, 8], [11, 6], [13, 11]]
180	[[12, 9]]	[[14, 8], [10, 9], [11, 7], [13, 11]]
181	[[11, 9]]	[[13, 7], [10, 10], [11, 7], [13, 11]]
182	[[10, 10]]	[[13, 8], [9, 10], [10, 7], [12, 11]]
183	[[9, 11]]	[[12, 9], [8, 10], [10, 8], [11, 12]]
184	[[9, 12]]	[[11, 10], [7, 11], [9, 9], [10, 13]]
185	[[8, 13]]	[[11, 11], [7, 12], [9, 10], [10, 13]]
186	[[8, 14]]	[[11, 11], [6, 13], [9, 11], [10, 14]]
187	[[7, 15]]	[[11, 12], [6, 14], [8, 12], [10, 14]]
188	[[8, 16]]	[[11, 12], [5, 15], [7, 13], [9, 15]]
189	[[8, 17]]	[[10, 13], [6, 16], [7, 14], [10, 16]]
190	[[8, 17]]	[[9, 14], [5, 17], [7, 15], [10, 17]]
191	[[9, 18]]	[[9, 15], [6, 18], [6, 16], [10, 18]]
192	[[9, 19]]	[[9, 16], [7, 19], [7, 16], [10, 17]]
193	[[10, 20]]	[[9, 15], [7, 19], [8, 17], [11, 18]]
194	[[11, 21]]	[[10, 16], [8, 20], [9, 18], [11, 18]]
195	[[12, 21]]	[[10, 16], [9, 21], [9, 19], [12, 19]]
196	[[13, 22]]	[[11, 17], [9, 21], [9, 19], [12, 19]]
197	[[14, 22]]	[[12, 17], [10, 22], [10, 20], [12, 19]]
198	[[15, 23]]	[[12, 17], [11, 23], [11, 21], [13, 19]]
199	[[16, 22]]	[[12, 17], [11, 23], [11, 21], [14, 20]]
200	[[16, 22]]	[[13, 18], [12, 24], [12, 22], [14, 20]]
