timesteps	evaders	pursuers
76	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
77	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
78	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
79	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
80	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
81	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
82	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
83	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
84	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
85	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
86	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
87	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
88	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
89	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
90	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
91	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
92	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
93	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
94	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
95	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
96	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
97	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
98	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
99	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
100	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
