timesteps	evaders	pursuers
127	[[6, 7]]	[[2, 7], [5, 4], [9, 6], [3, 5], [7, 3], [6, 8], [7, 7], [2, 3]]
128	[[7, 8]]	[[3, 8], [6, 5], [10, 7], [4, 6], [8, 4], [6, 9], [8, 8], [3, 4]]
129	[[8, 9]]	[[4, 9], [7, 6], [11, 8], [5, 7], [9, 5], [7, 10], [9, 9], [4, 5]]
130	[[8, 9]]	[[5, 10], [8, 7], [11, 9], [6, 8], [10, 6], [8, 11], [10, 10], [5, 6]]
131	[[9, 10]]	[[5, 10], [8, 7], [11, 9], [6, 8], [10, 7], [8, 11], [10, 11], [5, 6]]
132	[[10, 11]]	[[5, 11], [8, 8], [12, 10], [6, 9], [10, 8], [7, 12], [10, 12], [6, 7]]
133	[[11, 12]]	[[5, 12], [8, 9], [12, 11], [6, 10], [11, 9], [7, 12], [11, 13], [6, 7]]
134	[[12, 13]]	[[5, 12], [9, 10], [12, 11], [7, 9], [11, 9], [8, 13], [12, 14], [6, 7]]
135	[[13, 14]]	[[4, 13], [10, 11], [12, 11], [8, 10], [11, 9], [9, 14], [13, 15], [7, 8]]
136	[[14, 14]]	[[5, 14], [10, 11], [12, 11], [8, 11], [11, 9], [10, 15], [13, 15], [8, 9]]
137	[[15, 15]]	[[5, 15], [10, 11], [13, 12], [8, 11], [12, 10], [10, 15], [14, 16], [9, 8]]
138	[[16, 16]]	[[6, 16], [11, 12], [14, 13], [9, 12], [13, 11], [11, 16], [15, 17], [10, 9]]
139	[[17, 17]]	[[7, 17], [12, 13], [15, 14], [10, 13], [14, 12], [12, 17], [16, 18], [11, 10]]
140	[[17, 17]]	[[8, 18], [13, 14], [16, 15], [11, 14], [15, 13], [13, 18], [17, 19], [12, 11]]
141	[[18, 18]]	[[9, 19], [14, 15], [16, 15], [12, 15], [16, 13], [14, 18], [18, 19], [13, 12]]
142	[[19, 18]]	[[9, 19], [14, 16], [16, 15], [13, 14], [16, 13], [15, 19], [18, 19], [13, 12]]
143	[[20, 19]]	[[9, 19], [15, 17], [17, 16], [14, 15], [17, 14], [16, 20], [19, 20], [14, 13]]
144	[[21, 20]]	[[10, 20], [16, 18], [18, 17], [15, 16], [18, 15], [16, 20], [20, 21], [15, 14]]
145	[[22, 21]]	[[11, 21], [16, 18], [19, 18], [15, 16], [19, 16], [17, 21], [21, 22], [15, 14]]
146	[[23, 22]]	[[12, 22], [17, 19], [20, 19], [16, 17], [20, 17], [18, 22], [22, 23], [16, 15]]
147	[[24, 23]]	[[13, 23], [18, 20], [21, 20], [17, 18], [21, 18], [19, 23], [21, 23], [17, 16]]
148	[[25, 24]]	[[14, 24], [19, 21], [21, 21], [18, 19], [22, 19], [19, 23], [22, 24], [18, 17]]
149	[[26, 25]]	[[15, 25], [19, 21], [22, 22], [18, 19], [23, 20], [20, 24], [22, 25], [18, 17]]
150	[[26, 25]]	[[16, 26], [20, 22], [23, 23], [18, 19], [24, 21], [20, 25], [23, 26], [19, 17]]
151	[[27, 26]]	[[17, 27], [20, 22], [24, 24], [19, 20], [25, 22], [21, 26], [24, 27], [19, 17]]
152	[[28, 27]]	[[18, 28], [21, 23], [25, 25], [20, 21], [26, 23], [22, 27], [25, 28], [20, 18]]
153	[[29, 28]]	[[19, 29], [22, 24], [26, 26], [21, 22], [27, 24], [23, 28], [26, 29], [21, 19]]
154	[[30, 29]]	[[20, 30], [23, 25], [27, 27], [22, 23], [28, 25], [24, 29], [26, 29], [22, 20]]
